"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"1","Austria",2872,47,143,49,41,53.5,1512
"2","Italy",2337,19,162,48,12,49.5,1155
"3","Austria",2430,60,50,8,34,57,1730
"4","Austria",2313,61,35,4,26,49,683
"5","Austria",2150,35,30,10,19,50.5,1330
"6","Austria",2025,259,537,135,43,51,1195
"7","Austria",2525,47,111,12,7,50,1125
"8","Italy",2390,29,30,6,10,46.5,930
"9","Austria",2100,128,126,19,8,49.5,1096
"10","Italy",2518,52,105,18,79,59,1282
"11","Austria",2054,36,108,27,7,59,1404
"12","Austria",2000,94,67,20,49,59.5,1200
"13","Austria",2422,95,245,106,14,50,1402
"14","Austria",2378,297,413,146,36,59,1778
"15","Austria",1965,18,19,6,16,44,1069
"16","Germany",1456,45,4,3,6,35,406
"17","Austria",1820,73,37,0,5,49.5,820
"18","Italy",2510,185,272,93,15,52,1203
"19","Switzerland",2865,110,87,28,43,79,1636
"20","Austria",2096,140,112,18,70,58.5,1266
"21","Austria",1957,126,127,35,89,55.5,1337
"22","Austria",2407,56,15,11,7,50,1307
"23","Austria",2050,297,48,17,19,54,1340
"24","Austria",1860,18,22,2,14,49,1120
"25","Italy",2388,93,328,69,18,51,848
"26","Austria",1604,155,23,35,16,48,945
"27","Italy",2100,4,21,0,8,50,800
"28","Switzerland",3111,20,17,18,6,53,1692
"29","Switzerland",2227,146,139,54,10,56,1718
"30","Austria",2300,128,159,8,9,45,1300
"31","Austria",2500,49,87,11,52,57.5,1920
"32","Switzerland",3142,12,213,12,6,52,1583
"33","Austria",1530,15,5,3,4,48,530
"34","Austria",1636,14,10,1,9,39.5,601
"35","Austria",1432,55,6,2,6,38.5,562
"36","Italy",2357,16,32,12,21,49,953
"37","Austria",1670,32,12,2,10,46,1030
"38","Germany",1405,37,98,25,7,43,525
"39","Italy",2510,14,14,5,8,49.5,1460
"40","Austria",2222,7,16,3,9,45,622
"41","Austria",2240,12,68,32,9,42,1231
"42","Austria",1591,9,10,1,8,49,621
"43","Austria",3029,29,23,9,21,58.5,2261
"44","Switzerland",2222,10,38,17,17,59,1557
"45","Austria",1870,29,9,3,6,38,860
"46","Austria",2205,14,245,35,14,48.5,805
"47","Austria",2118,17,16,9,13,48,1250
"48","Germany",1215,68,61,26,6,32,304
"49","Switzerland",2105,15,20,5,5,46,1085
"50","Italy",2400,22,13,6,8,49.5,1450
"51","Austria",2811,130,122,51,88,59,1511
"52","Austria",2820,47,123,28,39,56,1620
"53","Austria",3340,695,466,273,31,62,1990
"54","Austria",2015,464,683,83,44,58,1287
"55","France",3456,170,78,52,82,62,1906
"56","France",3230,312,216,72,137,64.5,2130
"57","Austria",2500,44,70,28,44,57.5,1870
"58","Switzerland",3022,42,79,34,24,67.8,1302
"59","Austria",1900,52,41,27,34,57,1100
"60","Italy",2275,52,42,25,33,60,1302
"61","Austria",1980,34,82,4,44,58,1240
"62","Italy",2504,50,67,33,58,58,1652
"63","Austria",2300,308,525,26,18,58.5,1440
"64","Austria",2000,30,28,19,28,58.5,1240
"65","Switzerland",2200,46,34,6,23,63,940
"66","Andorra",2640,100,77,33,65,52,930
