,resort_name,country,province,rating,lowest_point,highest_point,blue_runs,red_runs,black_runs,ski_lifts,price
0, Ischgl/​Samnaun – Silvretta Arena ,Austria,Tyrol (Tirol),4.8,1360 m,2872 m,47 km,143 km,49 km,41 ski lifts,€ 53.50
1, Carezza Ski ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1182 m,2337 m,19 km,16.2 km,4.8 km,12 ski lifts,€ 49.50
2, Silvretta Montafon ,Austria,Vorarlberg,4.5,700 m,2430 m,60 km,50 km,8 km,34 ski lifts,"€ 57,-"
3, Obertauern ,Austria,Salzburg (Salzburger Land),4.5,1630 m,2313 m,61 km,35 km,4 km,26 ski lifts,"€ 49,-"
4, Wildkogel – Neukirchen/​Bramberg ,Austria,Salzburg (Salzburger Land),4.3,820 m,2150 m,35 km,30 km,10 km,19 ski lifts,€ 50.50
5, Ski Juwel Alpbachtal Wildschönau ,Austria,Tyrol (Tirol),4.2,830 m,2025 m,25.9 km,53.7 km,13.5 km,43 ski lifts,"€ 51,-"
6, St. Jakob im Defereggental – Brunnalm ,Austria,Tyrol (Tirol),3.8,1400 m,2525 m,4.7 km,11.1 km,1.2 km,7 ski lifts,"€ 50,-"
7, Belpiano (Schöneben)/​Malga San Valentino (Haideralm) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1460 m,2390 m,29 km,30 km,6 km,10 ski lifts,€ 46.50
8, Lermoos – Grubigstein ,Austria,Tyrol (Tirol),4,1004 m,2100 m,12.8 km,12.6 km,1.9 km,8 ski lifts,€ 49.50
9, Val Gardena (Gröden) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.7,1236 m,2518 m,52 km,105 km,18 km,79 ski lifts,"€ 59,-"
10, Spieljoch – Fügen ,Austria,Tyrol (Tirol),3.7,650 m,2054 m,3.6 km,10.8 km,2.7 km,7 ski lifts,"€ 59,-"
11, Kitzbühel/​Kirchberg – KitzSki ,Austria,Tyrol (Tirol),4.9,800 m,2000 m,94 km,67 km,20 km,49 ski lifts,€ 59.50
12, Großglockner Resort Kals-Matrei ,Austria,Tyrol (Tirol),4.2,1020 m,2422 m,9.5 km,24.5 km,10.6 km,14 ski lifts,"€ 50,-"
13, Kaltenbach – Hochzillertal/​Hochfügen (SKi-optimal) ,Austria,Tyrol (Tirol),4.7,600 m,2378 m,29.7 km,41.3 km,14.6 km,36 ski lifts,"€ 59,-"
14, Tauplitz – Bad Mitterndorf ,Austria,Styria (Steiermark),4,896 m,1965 m,18 km,19 km,6 km,16 ski lifts,"€ 44,-"
15, Arber ,Germany,Bavaria (Bayern),3.6,1050 m,1456 m,4.5 km,4 km,3 km,6 ski lifts,"€ 35,-"
16, Biberwier – Marienberg ,Austria,Tyrol (Tirol),3.4,1000 m,1820 m,7.3 km,3.7 km,0 km,5 ski lifts,€ 49.50
17, Gitschberg Jochtal ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.2,1307 m,2510 m,18.5 km,27.2 km,9.3 km,15 ski lifts,"€ 52,-"
18, Arosa Lenzerheide ,Switzerland,Eastern Switzerland,4.6,1229 m,2865 m,110 km,87 km,28 km,43 ski lifts,"SFr. 84,- / approx. € 79,-"
19, Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus) ,Austria,Salzburg (Salzburger Land),4.7,830 m,2096 m,140 km,112 km,18 km,70 ski lifts,€ 58.50
20, SkiWelt Wilder Kaiser-Brixental ,Austria,Tyrol (Tirol),4.8,620 m,1957 m,126 km,127 km,35 km,89 ski lifts,€ 55.50
21, Sillian – Thurntaler (Hochpustertal) ,Austria,Tyrol (Tirol),3.8,1100 m,2407 m,5.6 km,15 km,1.1 km,7 ski lifts,"€ 50,-"
22, Damüls Mellau ,Austria,Vorarlberg,4.2,710 m,2050 m,29.7 km,48 km,1.7 km,19 ski lifts,"€ 54,-"
23, Steinplatte/​Winklmoosalm – Waidring/​Reit im Winkl ,Austria,Tyrol (Tirol),4.1,740 m,1860 m,18 km,22 km,2 km,14 ski lifts,"€ 49,-"
24, Latemar – Obereggen/​Pampeago/​Predazzo ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.3,1540 m,2388 m,9.3 km,32.8 km,6.9 km,18 ski lifts,"€ 51,-"
25, St. Johann in Tirol/​Oberndorf – Harschbichl ,Austria,Tyrol (Tirol),4,659 m,1604 m,15.5 km,23 km,3.5 km,16 ski lifts,"€ 48,-"
26, Racines-Giovo (Ratschings-Jaufen)/​Malga Calice (Kalcheralm) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1300 m,2100 m,4 km,21 km,0 km,8 ski lifts,"€ 50,-"
27, Lauchernalp – Lötschental ,Switzerland,Lemanic Region,3.8,1419 m,3111 m,20 km,17 km,18 km,6 ski lifts,"SFr. 57,- / approx. € 53,-"
28, Pizol – Bad Ragaz/​Wangs ,Switzerland,Eastern Switzerland,3.8,509 m,2227 m,14.6 km,13.9 km,5.4 km,10 ski lifts,"SFr. 60,- / approx. € 56,-"
29, Sonnenkopf – Klösterle ,Austria,Vorarlberg,3.5,1000 m,2300 m,12.8 km,15.9 km,0.8 km,9 ski lifts,"€ 45,-"
30, Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml ,Austria,Tyrol (Tirol),4.7,580 m,2500 m,49 km,87 km,11 km,52 ski lifts,€ 57.50
31, Hohsaas – Saas-Grund ,Switzerland,Lemanic Region,3.8,1559 m,3142 m,12 km,21.3 km,1.2 km,6 ski lifts,"SFr. 56,- / approx. € 52,-"
32, Ehrwalder Wettersteinbahnen – Ehrwald ,Austria,Tyrol (Tirol),3.4,1000 m,1530 m,15 km,5 km,3 km,4 ski lifts,"€ 48,-"
33, Ramsau am Dachstein – Rittisberg ,Austria,Styria (Steiermark),3.3,1035 m,1636 m,14 km,10 km,1 km,9 ski lifts,€ 39.50
34, Mönichkirchen/​Mariensee ,Austria,Lower Austria (Niederösterreich),3,870 m,1432 m,5.5 km,6 km,2 km,6 ski lifts,€ 38.50
35, San Martino di Castrozza ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,1404 m,2357 m,16 km,32 km,12 km,21 ski lifts,"€ 49,-"
36, Almenwelt Lofer ,Austria,Salzburg (Salzburger Land),4,640 m,1670 m,32 km,12 km,2 km,10 ski lifts,"€ 46,-"
37, Ofterschwang/​Gunzesried – Ofterschwanger Horn ,Germany,Bavaria (Bayern),3.6,880 m,1405 m,3.7 km,9.8 km,2.5 km,7 ski lifts,"€ 43,-"
38, Klausberg – Steinhaus (Cadipietra) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4.1,1050 m,2510 m,14 km,14 km,5 km,8 ski lifts,€ 49.50
39, Lachtal ,Austria,Styria (Steiermark),3.7,1600 m,2222 m,7 km,16 km,3 km,9 ski lifts,"€ 45,-"
40, Schlick 2000 – Fulpmes ,Austria,Tyrol (Tirol),3.6,1009 m,2240 m,12 km,6.8 km,3.2 km,9 ski lifts,"€ 42,-"
41, Filzmoos ,Austria,Salzburg (Salzburger Land),2.9,970 m,1591 m,9 km,10 km,1 km,8 ski lifts,"€ 49,-"
42, Kitzsteinhorn/​Maiskogel – Kaprun ,Austria,Salzburg (Salzburger Land),4.4,768 m,3029 m,29 km,23 km,9 km,21 ski lifts,€ 58.50
43, Flumserberg ,Switzerland,Eastern Switzerland,4,665 m,2222 m,10 km,38 km,17 km,17 ski lifts,"SFr. 63,- / approx. € 59,-"
44, Grebenzen – St. Lambrecht ,Austria,Styria (Steiermark),2.9,1010 m,1870 m,2.9 km,9 km,0.3 km,6 ski lifts,"€ 38,-"
45, Turracher Höhe ,Austria,Carinthia (Kärnten),4.3,1400 m,2205 m,14 km,24.5 km,3.5 km,14 ski lifts,€ 48.50
46, Kreischberg ,Austria,Styria (Steiermark),3.9,868 m,2118 m,17 km,16 km,9 km,13 ski lifts,"€ 48,-"
47, Fichtelberg – Oberwiesenthal ,Germany,Saxony (Sachsen),3.3,911 m,1215 m,6.8 km,6.1 km,2.6 km,6 ski lifts,"€ 32,-"
48, Elm im Sernftal ,Switzerland,Eastern Switzerland,3.7,1020 m,2105 m,15 km,20 km,5 km,5 ski lifts,"SFr. 49,- / approx. € 46,-"
49, Speikboden – Sand in Taufers (Campo Tures) ,Italy,Trentino-Alto Adige (Trentino-Südtirol),4,950 m,2400 m,22 km,13 km,6 km,8 ski lifts,€ 49.50
50, St. Anton/​St. Christoph/​Stuben/​Lech/​Zürs/​Warth/​Schröcken – Ski Arlberg ,Austria,Tyrol (Tirol),4.8,1300 m,2811 m,130 km,122 km,51 km,88 ski lifts,"€ 59,-"
51, Serfaus-Fiss-Ladis ,Austria,Tyrol (Tirol),4.8,1200 m,2820 m,47 km,123 km,28 km,39 ski lifts,"€ 56,-"
52, Sölden ,Austria,Tyrol (Tirol),4.7,1350 m,3340 m,69.5 km,46.6 km,27.3 km,31 ski lifts,"€ 62,-"
53, Schladming – Planai/​​Hochwurzen/​​Hauser Kaibling/​​Reiteralm (4-Berge-Skischaukel) ,Austria,Styria (Steiermark),4.7,728 m,2015 m,46.4 km,68.3 km,8.3 km,44 ski lifts,"€ 58,-"
54, Tignes/​Val d'Isère ,France,Auvergne-Rhône-Alpes,4.6,1550 m,3456 m,170 km,78 km,52 km,82 ski lifts,"€ 62,-"
55, Les 3 Vallées – Val Thorens/​Les Menuires/​Méribel/​Courchevel ,France,Auvergne-Rhône-Alpes,4.6,1100 m,3230 m,312 km,216 km,72 km,137 ski lifts,€ 64.50
